title,authors,average_rating,language_code,publisher,tags
Notes from a Small Island,BillBryson,3.91,eng,WilliamMorrowPaperbacks,"notes from a small island,billbryson,williammorrowpaperbacks"
The Mother Tongue English and How It Got That Way,BillBryson,3.93,eng,WilliamMorrowPaperbacks,"the mother tongue english and how it got that way,billbryson,williammorrowpaperbacks"
J R R Tolkien 4 Book Boxed Set The Hobbit and The Lord of the Rings,J.R.R.Tolkien,4.59,eng,BallantineBooks,"j r r tolkien 4 book boxed set the hobbit and the lord of the rings,j.r.r.tolkien,ballantinebooks"
The Lord of the Rings The Lord of the Rings  1 3 ,J.R.R.Tolkien,4.5,eng,HoughtonMifflinHarcourt,"the lord of the rings the lord of the rings  1 3 ,j.r.r.tolkien,houghtonmifflinharcourt"
The Fellowship of the Ring The Lord of the Rings  1 ,J.R.R.Tolkien,4.36,eng,HoughtonMifflinHarcourt,"the fellowship of the ring the lord of the rings  1 ,j.r.r.tolkien,houghtonmifflinharcourt"
The Lord of the Rings The Lord of the Rings  1 3 ,J.R.R.Tolkien/AlanLee,4.5,en-US,HoughtonMifflinHarcourt,"the lord of the rings the lord of the rings  1 3 ,j.r.r.tolkien/alanlee,houghtonmifflinharcourt"
The Lord of the Rings Weapons and Warfare,ChrisSmith/ChristopherLee/RichardTaylor,4.53,eng,HoughtonMifflinHarcourt,"the lord of the rings weapons and warfare,chrissmith/christopherlee/richardtaylor,houghtonmifflinharcourt"
The Lord of the Rings Complete Visual Companion,JudeFisher,4.5,eng,HoughtonMifflinHarcourt,"the lord of the rings complete visual companion,judefisher,houghtonmifflinharcourt"
Agile Web Development with Rails A Pragmatic Guide,DaveThomas/DavidHeinemeierHansson/LeonBreedt/MikeClark/ThomasFuchs/AndreasSchwarz,3.84,eng,PragmaticBookshelf,"agile web development with rails a pragmatic guide,davethomas/davidheinemeierhansson/leonbreedt/mikeclark/thomasfuchs/andreasschwarz,pragmaticbookshelf"
Hatchet Brian s Saga  1 ,GaryPaulsen,3.72,eng,AtheneumBooksforYoungReaders:RichardJacksonBooks,"hatchet brian s saga  1 ,garypaulsen,atheneumbooksforyoungreaders:richardjacksonbooks"
Hatchet A Guide for Using Hatchet in the Classroom,DonnaIckes/EdwardSciranko/KeithVasconcelles,4.0,eng,TeacherCreatedResources,"hatchet a guide for using hatchet in the classroom,donnaickes/edwardsciranko/keithvasconcelles,teachercreatedresources"
Guts The True Stories behind Hatchet and the Brian Books,GaryPaulsen,3.88,eng,DelacortePress,"guts the true stories behind hatchet and the brian books,garypaulsen,delacortepress"
Molly Hatchet  5 of the Best,MollyHatchet,4.33,eng,CherryLaneMusicCompany,"molly hatchet  5 of the best,mollyhatchet,cherrylanemusiccompany"
Hatchet Jobs Writings on Contemporary Fiction,DalePeck,3.45,en-US,TheNewPress,"hatchet jobs writings on contemporary fiction,dalepeck,thenewpress"
A Changeling for All Seasons Changeling Seasons 1 ,AngelaKnight/SaharaKelly/JudyMays/MarteekaKarland/KateDouglas/ShelbyMorgen/LaceySavage/KateHill/WillaOkati,3.76,eng,ChangelingPress,"a changeling for all seasons changeling seasons 1 ,angelaknight/saharakelly/judymays/marteekakarland/katedouglas/shelbymorgen/laceysavage/katehill/willaokati,changelingpress"
Changeling Changeling  1 ,DeliaSherman,3.6,eng,VikingJuvenile,"changeling changeling  1 ,deliasherman,vikingjuvenile"
The Changeling Sea,PatriciaA.McKillip,4.06,eng,Firebird,"the changeling sea,patriciaa.mckillip,firebird"
The Changeling,ZilphaKeatleySnyder,4.17,eng,iUniverse,"the changeling,zilphakeatleysnyder,iuniverse"
The Changeling,KateHorsley,3.55,eng,Shambhala,"the changeling,katehorsley,shambhala"
The Changeling Daughters of England  15 ,PhilippaCarr,3.98,eng,IvyBooks,"the changeling daughters of england  15 ,philippacarr,ivybooks"
The Known World,EdwardP.Jones,3.83,eng,Amistad,"the known world,edwardp.jones,amistad"
The Known World,EdwardP.Jones/KevinR.Free,3.83,en-US,HarperAudio,"the known world,edwardp.jones/kevinr.free,harperaudio"
The Known World,EdwardP.Jones,3.83,eng,Harper,"the known world,edwardp.jones,harper"
Traders Guns  Money Knowns and Unknowns in the Dazzling World of Derivatives,SatyajitDas,3.83,eng,FTPress,"traders guns  money knowns and unknowns in the dazzling world of derivatives,satyajitdas,ftpress"
Artesia Adventures in the Known World,MarkSmylie,4.13,eng,Archaia,"artesia adventures in the known world,marksmylie,archaia"
The John McPhee Reader John McPhee Reader  1 ,JohnMcPhee/WilliamHowarth,4.42,eng,FarrarStrausandGiroux,"the john mcphee reader john mcphee reader  1 ,johnmcphee/williamhowarth,farrarstrausandgiroux"
Uncommon Carriers,JohnMcPhee,3.95,en-US,FarrarStrausGiroux,"uncommon carriers,johnmcphee,farrarstrausgiroux"
Heirs of General Practice,JohnMcPhee,4.17,eng,FarrarStrausandGiroux,"heirs of general practice,johnmcphee,farrarstrausandgiroux"
The Control of Nature,JohnMcPhee,4.24,en-US,FarrarStrausandGiroux,"the control of nature,johnmcphee,farrarstrausandgiroux"
Annals of the Former World,JohnMcPhee,4.34,eng,FarrarStrausandGiroux,"annals of the former world,johnmcphee,farrarstrausandgiroux"
Coming Into the Country,JohnMcPhee,4.22,eng,FarrarStrausandGiroux,"coming into the country,johnmcphee,farrarstrausandgiroux"
La Place de la Concorde Suisse,JohnMcPhee,3.92,fre,FarrarStrausandGiroux,"la place de la concorde suisse,johnmcphee,farrarstrausandgiroux"
Giving Good Weight,JohnMcPhee,4.23,eng,FarrarStrausandGiroux,"giving good weight,johnmcphee,farrarstrausandgiroux"
Rising from the Plains,JohnMcPhee,4.23,eng,FarrarStrausandGiroux,"rising from the plains,johnmcphee,farrarstrausandgiroux"
The Heidi Chronicles,WendyWasserstein,3.75,eng,DramatistsPlayService,"the heidi chronicles,wendywasserstein,dramatistsplayservice"
The Heidi Chronicles Uncommon Women and Others  Isn t It Romantic,WendyWasserstein,3.84,eng,Vintage,"the heidi chronicles uncommon women and others  isn t it romantic,wendywasserstein,vintage"
Active Literacy Across the Curriculum Strategies for Reading Writing Speaking and Listening,HeidiHayesJacobs,3.94,eng,Routledge,"active literacy across the curriculum strategies for reading writing speaking and listening,heidihayesjacobs,routledge"
Simply Beautiful Beaded Jewelry,HeidiBoyd,3.77,en-US,NorthLightBooks,"simply beautiful beaded jewelry,heidiboyd,northlightbooks"
Always Enough God s Miraculous Provision Among the Poorest Children on Earth,HeidiBaker/RollandBaker,4.46,eng,ChosenBooks,"always enough god s miraculous provision among the poorest children on earth,heidibaker/rollandbaker,chosenbooks"
Mapping the Big Picture Integrating Curriculum  Assessment K 12,HeidiHayesJacobs,3.68,en-US,AssociationforSupervision&CurriculumDevelopment,"mapping the big picture integrating curriculum  assessment k 12,heidihayesjacobs,associationforsupervision&curriculumdevelopment"
Heidi Heidi  1 2 ,JohannaSpyri/BeverlyCleary/AngeloRinaldi,3.99,eng,Kingfisher,"heidi heidi  1 2 ,johannaspyri/beverlycleary/angelorinaldi,kingfisher"
Getting Results with Curriculum Mapping,HeidiHayesJacobs,3.25,eng,ASCD,"getting results with curriculum mapping,heidihayesjacobs,ascd"
There s Always Enough The Miraculous Move of God in Mozambique,RollandBaker/HeidiBaker,4.46,eng,SovereignWorld,"there s always enough the miraculous move of god in mozambique,rollandbaker/heidibaker,sovereignworld"
What to Expect the First Year What to Expect ,HeidiMurkoff/SharonMazel/ArleneEisenberg/SandeeHathaway/MarkD.Widome,3.89,eng,WorkmanPublishingCompany,"what to expect the first year what to expect ,heidimurkoff/sharonmazel/arleneeisenberg/sandeehathaway/markd.widome,workmanpublishingcompany"
The Player s Handbook The Ultimate Guide on Dating and Relationships,HeidiFleiss/LibbyKeatinge,3.82,eng,OneHourEntertainment,"the player s handbook the ultimate guide on dating and relationships,heidifleiss/libbykeatinge,onehourentertainment"
Simply Beautiful Beading 53 Quick and Easy Projects,HeidiBoyd,3.78,en-US,NorthLightBooks,"simply beautiful beading 53 quick and easy projects,heidiboyd,northlightbooks"
God Emperor of Dune Dune Chronicles  4 ,FrankHerbert,3.84,eng,AceBooks,"god emperor of dune dune chronicles  4 ,frankherbert,acebooks"
Chapterhouse Dune Dune Chronicles 6 ,FrankHerbert,3.91,eng,AceBooks,"chapterhouse dune dune chronicles 6 ,frankherbert,acebooks"
Dune Messiah Dune Chronicles 2 ,FrankHerbert,3.88,eng,AceBooks,"dune messiah dune chronicles 2 ,frankherbert,acebooks"
Dreamer of Dune The Biography of Frank Herbert,BrianHerbert,4.01,en-US,TorBooks,"dreamer of dune the biography of frank herbert,brianherbert,torbooks"
Heretics of Dune Dune Chronicles  5 ,FrankHerbert,3.86,eng,Putnam,"heretics of dune dune chronicles  5 ,frankherbert,putnam"
The Road to Dune,FrankHerbert/BrianHerbert/KevinJ.Anderson,3.88,eng,TorScienceFiction,"the road to dune,frankherbert/brianherbert/kevinj.anderson,torsciencefiction"
Heretics of Dune Dune Chronicles 5 ,FrankHerbert,3.86,eng,AceBooks,"heretics of dune dune chronicles 5 ,frankherbert,acebooks"
The Lord of the Rings The Art of the Fellowship of the Ring,GaryRussell,4.59,eng,HoughtonMifflinHarcourt,"the lord of the rings the art of the fellowship of the ring,garyrussell,houghtonmifflinharcourt"
The Power of One The Power of One  1 ,BryceCourtenay,4.35,eng,BallantineBooks,"the power of one the power of one  1 ,brycecourtenay,ballantinebooks"
The Power of One The Power of One  1 ,BryceCourtenay,4.35,eng,DelacorteBooksforYoungReaders,"the power of one the power of one  1 ,brycecourtenay,delacortebooksforyoungreaders"
The Power of One One Person One Rule One Month,JohnC.Maxwell/StephenR.Graves/ThomasG.Addington,4.28,en-US,ThomasNelson,"the power of one one person one rule one month,johnc.maxwell/stephenr.graves/thomasg.addington,thomasnelson"
Power of an Hour Business and Life Mastery in One Hour a Week,DaveLakhani,3.34,eng,Wiley,"power of an hour business and life mastery in one hour a week,davelakhani,wiley"
The Power of One The Solo Play for Playwrights Actors and Directors,LouisE.Catron,3.67,eng,HeinemannDrama,"the power of one the solo play for playwrights actors and directors,louise.catron,heinemanndrama"
How to Buy Sell  Profit on eBay Kick Start Your Home Based Business in Just Thirty Days,AdamGinsberg,3.48,eng,WilliamMorrowPaperbacks,"how to buy sell  profit on ebay kick start your home based business in just thirty days,adamginsberg,williammorrowpaperbacks"
eBay for Dummies,MarshaCollier,3.5,eng,Wiley,"ebay for dummies,marshacollier,wiley"
What to Sell on ebay and Where to Get It The Definitive Guide to Product Sourcing for eBay and Beyond,ChrisMalta/LisaSuttora,3.62,eng,McGraw-Hill,"what to sell on ebay and where to get it the definitive guide to product sourcing for ebay and beyond,chrismalta/lisasuttora,mcgraw-hill"
Starting an eBay Business for Dummies,MarshaCollier,3.55,eng,Wiley,"starting an ebay business for dummies,marshacollier,wiley"
eBay Top 100 Simplified Tips  Tricks,JuliaWilkinson,4.27,eng,Wiley,"ebay top 100 simplified tips  tricks,juliawilkinson,wiley"
ebay Timesaving Techniques for Dummies,MarshaCollier,3.39,en-US,Wiley,"ebay timesaving techniques for dummies,marshacollier,wiley"
eBay Business All in One Desk Reference for Dummies,MarshaCollier,3.89,en-US,Wiley,"ebay business all in one desk reference for dummies,marshacollier,wiley"
Ruby Cookbook,LucasCarlson/LeonardRichardson,3.84,eng,O'ReillyMedia,"ruby cookbook,lucascarlson/leonardrichardson,o'reillymedia"
Ruby Ann s Down Home Trailer Park Cookbook,RubyAnnBoxcar,4.12,eng,Citadel,"ruby ann s down home trailer park cookbook,rubyannboxcar,citadel"
Ruby Ann s Down Home Trailer Park BBQin Cookbook,RubyAnnBoxcar,4.08,eng,Citadel,"ruby ann s down home trailer park bbqin cookbook,rubyannboxcar,citadel"
Rails Cookbook Recipes for Rapid Web Development with Ruby,RobOrsini,3.48,eng,O'ReillyMedia,"rails cookbook recipes for rapid web development with ruby,roborsini,o'reillymedia"
Anna Karenina,LeoTolstoy/RichardPevear/LarissaVolokhonsky,4.05,eng,PenguinClassics,"anna karenina,leotolstoy/richardpevear/larissavolokhonsky,penguinclassics"
Anna Karenina,LeoTolstoy/DavidMagarshack/PriscillaMeyer,4.05,eng,Signet,"anna karenina,leotolstoy/davidmagarshack/priscillameyer,signet"
Anna Karenina,LeoTolstoy/RichardPevear/LarissaVolokhonsky/JohnBayley,4.05,eng,PenguinBooks,"anna karenina,leotolstoy/richardpevear/larissavolokhonsky/johnbayley,penguinbooks"
CliffsNotes on Tolstoy s Anna Karenina,MarianneSturman/LeoTolstoy,3.85,eng,CliffsNotes,"cliffsnotes on tolstoy s anna karenina,mariannesturman/leotolstoy,cliffsnotes"
Anna Karenina,LeoTolstoy/AmyMandelker/ConstanceGarnett,4.05,eng,Barnes&NobleClassics,"anna karenina,leotolstoy/amymandelker/constancegarnett,barnes&nobleclassics"
Anna Karenina,LeoTolstoy/LouiseMaude/AylmerMaude,4.05,eng,DoverPublications,"anna karenina,leotolstoy/louisemaude/aylmermaude,doverpublications"
Anna Karenina,LeoTolstoy/ConstanceGarnett/AmyMandelker,4.05,eng,Barnes&Noble,"anna karenina,leotolstoy/constancegarnett/amymandelker,barnes&noble"
Dinner with Anna Karenina,GloriaGoldreich,2.99,eng,MiraBooks,"dinner with anna karenina,gloriagoldreich,mirabooks"
Tolstoy Anna Karenina,AnthonyThorlby,4.19,eng,CambridgeUniversityPress,"tolstoy anna karenina,anthonythorlby,cambridgeuniversitypress"
Untouchable,MulkRajAnand/E.M.Forster,3.71,eng,PenguinBooks,"untouchable,mulkrajanand/e.m.forster,penguinbooks"
The Untouchable,JohnBanville,3.95,eng,Vintage,"the untouchable,johnbanville,vintage"
The Untouchables,EliotNess/OscarFraley,3.89,eng,BuccaneerBooks,"the untouchables,eliotness/oscarfraley,buccaneerbooks"
Untouchables My Family s Triumphant Journey Out of the Caste System in Modern India,NarendraJadhav,3.82,en-US,Scribner,"untouchables my family s triumphant journey out of the caste system in modern india,narendrajadhav,scribner"
Dalit The Black Untaouchables of India,V.T.Rajshekar/Y.N.Kly,4.2,eng,ClarityPress,"dalit the black untaouchables of india,v.t.rajshekar/y.n.kly,claritypress"
Growing Up Untouchable in India A Dalit Autobiography,VasantMoon/GailOmvedt/EleanorZelliot,3.65,eng,Rowman&LittlefieldPublishers,"growing up untouchable in india a dalit autobiography,vasantmoon/gailomvedt/eleanorzelliot,rowman&littlefieldpublishers"
The Evidence Based Social Work Skills Book,BarryR.Cournoyer,3.4,eng,Pearson,"the evidence based social work skills book,barryr.cournoyer,pearson"
A Wrinkle in Time A Guide for Using A Wrinkle in Time in the Classroom,JohnCarratello/PattyCarratello/TheresaWright,4.0,eng,TeacherCreatedResources,"a wrinkle in time a guide for using a wrinkle in time in the classroom,johncarratello/pattycarratello/theresawright,teachercreatedresources"
Wrinkles in Time,GeorgeSmoot/KeayDavidson,4.01,eng,HarperPerennial,"wrinkles in time,georgesmoot/keaydavidson,harperperennial"
A Wrinkle in Time With Related Readings A Wrinkle in Time Quintet 1 ,MadeleineL'Engle,4.0,eng,EMC/ParadigmPublishing,"a wrinkle in time with related readings a wrinkle in time quintet 1 ,madeleinel'engle,emc/paradigmpublishing"
Literature Circle Guide A Wrinkle in Time,TaraMacCarthy,3.6,eng,TeachingResources,"literature circle guide a wrinkle in time,taramaccarthy,teachingresources"
Una arruga en el tiempo  A Wrinkle in Time,MadeleineL'Engle,4.0,spa,TurtlebackBooks,"una arruga en el tiempo  a wrinkle in time,madeleinel'engle,turtlebackbooks"
The Long Shadow The Morland Dynasty  6 ,CynthiaHarrod-Eagles,4.12,eng,LittleBrownBookGroup,"the long shadow the morland dynasty  6 ,cynthiaharrod-eagles,littlebrownbookgroup"
A Long Shadow Inspector Ian Rutledge  8 ,CharlesTodd,4.11,eng,WilliamMorrow,"a long shadow inspector ian rutledge  8 ,charlestodd,williammorrow"
Long Way Round Chasing Shadows Across the World,EwanMcGregor/CharleyBoorman/RobertUhlig,3.94,en-US,AtriaBooks,"long way round chasing shadows across the world,ewanmcgregor/charleyboorman/robertuhlig,atriabooks"
A Shadow in Summer Long Price Quartet  1 ,DanielAbraham,3.6,eng,TorBooks,"a shadow in summer long price quartet  1 ,danielabraham,torbooks"
New Hope for the Dead Hoke Mosely 2 ,CharlesWilleford/JamesLeeBurke,3.9,eng,VintageCrime/BlackLizard,"new hope for the dead hoke mosely 2 ,charleswilleford/jamesleeburke,vintagecrime/blacklizard"
Sideswipe A Hoke Moseley Novel,CharlesWilleford/LawrenceBlock,4.05,eng,VintageCrime/BlackLizard,"sideswipe a hoke moseley novel,charleswilleford/lawrenceblock,vintagecrime/blacklizard"
Miami Blues Hoke Moseley 1 ,CharlesWilleford/ElmoreLeonard,3.94,eng,VintageCrime/BlackLizard,"miami blues hoke moseley 1 ,charleswilleford/elmoreleonard,vintagecrime/blacklizard"
The Burnt Orange Heresy Vintage Crime Black Lizard ,CharlesWilleford,3.89,eng,Vintage,"the burnt orange heresy vintage crime black lizard ,charleswilleford,vintage"
I am Charlotte Simmons,TomWolfe,3.42,eng,PicadorUSA,"i am charlotte simmons,tomwolfe,picadorusa"
Poetry for Young People Edward Lear,EdwardLear/LauraHuliska-Beith/EdwardMendelson,3.91,eng,Sterling,"poetry for young people edward lear,edwardlear/laurahuliska-beith/edwardmendelson,sterling"
The Puffin Book of Nonsense Verse,QuentinBlake,4.02,eng,Puffin,"the puffin book of nonsense verse,quentinblake,puffin"
Henry Miller on Writing,HenryMiller/ThomasH.Moore,4.22,eng,NewDirectionsPublishing,"henry miller on writing,henrymiller/thomash.moore,newdirectionspublishing"
Quiet Days in Clichy,HenryMiller,3.69,eng,GrovePress,"quiet days in clichy,henrymiller,grovepress"
Tropic of Cancer,HenryMiller/JiříNíl,3.68,eng,GrovePress,"tropic of cancer,henrymiller/jiříníl,grovepress"
Tropic of Capricorn,HenryMiller,3.78,eng,GrovePress,"tropic of capricorn,henrymiller,grovepress"
Nexus The Rosy Crucifixion  3 ,HenryMiller,4.1,eng,GrovePress,"nexus the rosy crucifixion  3 ,henrymiller,grovepress"
Sexus The Rosy Crucifixion  1 ,HenryMiller,3.98,eng,GrovePress,"sexus the rosy crucifixion  1 ,henrymiller,grovepress"
The Air Conditioned Nightmare,HenryMiller,3.83,eng,NewDirections,"the air conditioned nightmare,henrymiller,newdirections"
The Portrait of a Lady,HenryJames/PatriciaCrick,3.78,eng,PenguinClassics,"the portrait of a lady,henryjames/patriciacrick,penguinclassics"
The Portrait of a Lady,HenryJames/GabrielBrownstein/MaryCregan,3.78,eng,BarnesNobleClassics,"the portrait of a lady,henryjames/gabrielbrownstein/marycregan,barnesnobleclassics"
Writing,MargueriteDuras,3.75,eng,BrooklineBooks,"writing,margueriteduras,brooklinebooks"
The War,MargueriteDuras/BarbaraBray,3.85,eng,TheNewPress,"the war,margueriteduras/barbarabray,thenewpress"
The Ravishing of Lol Stein,MargueriteDuras/RichardSeever,3.66,en-US,Pantheon,"the ravishing of lol stein,margueriteduras/richardseever,pantheon"
Love Letters,KahlilGibran/SuheilBushrui/SalmaH.Al-Kuzbari,3.68,eng,OneWorld(UK),"love letters,kahlilgibran/suheilbushrui/salmah.al-kuzbari,oneworld(uk)"
Kahlil Gibran His Life and World,JeanGibran/جبرانخليلجبران/KahlilGibran,4.21,eng,InterlinkPublishingGroup,"kahlil gibran his life and world,jeangibran/جبرانخليلجبران/kahlilgibran,interlinkpublishinggroup"
The Beloved Reflections on the Path of the Heart,KahlilGibran/JohnWalbridge/RobinWaterfield,4.19,eng,PenguinBooks,"the beloved reflections on the path of the heart,kahlilgibran/johnwalbridge/robinwaterfield,penguinbooks"
Jesus the Son of Man,KahlilGibran/جبرانخليلجبران,3.98,eng,Knopf,"jesus the son of man,kahlilgibran/جبرانخليلجبران,knopf"
The Broken Wings,KahlilGibran/جبرانخليلجبران/AnthonyRizcallahFerris,3.92,eng,Citadel,"the broken wings,kahlilgibran/جبرانخليلجبران/anthonyrizcallahferris,citadel"
Sand and Foam,KahlilGibran/جبرانخليلجبران,4.08,eng,Knopf,"sand and foam,kahlilgibran/جبرانخليلجبران,knopf"
Treasure Island,RobertLouisStevenson,3.83,eng,Kingfisher,"treasure island,robertlouisstevenson,kingfisher"
Treasure Island,RobertLouisStevenson/ScottMcKowen,3.83,en-US,SterlingChildren'sBooks,"treasure island,robertlouisstevenson/scottmckowen,sterlingchildren'sbooks"
Treasure Island,RobertLouisStevenson,3.83,eng,Simon&Schuster,"treasure island,robertlouisstevenson,simon&schuster"
Treasure Island,RobertLouisStevenson/N.C.Wyeth/TimothyMeis,3.83,eng,AtheneumBooksforYoungReaders,"treasure island,robertlouisstevenson/n.c.wyeth/timothymeis,atheneumbooksforyoungreaders"
Treasure Island,RobertLouisStevenson/MiloWinter,3.83,en-US,GramercyBooks,"treasure island,robertlouisstevenson/milowinter,gramercybooks"
Treasure Island Great Illustrated Classics ,DeidreS.Laiken/A.J.McAllister/RobertLouisStevenson,4.05,eng,AbdoPublishingCompany,"treasure island great illustrated classics ,deidres.laiken/a.j.mcallister/robertlouisstevenson,abdopublishingcompany"
100 Years of Lynchings,RalphGinzburg,4.61,eng,BlackClassicPress,"100 years of lynchings,ralphginzburg,blackclassicpress"
Cien años de soledad,GabrielGarcíaMárquez,4.07,spa,French&European,"cien años de soledad,gabrielgarcíamárquez,french&european"
On Beyond Zebra ,Dr.Seuss,4.04,eng,RandomHouseBooksforYoungReaders,"on beyond zebra ,dr.seuss,randomhousebooksforyoungreaders"
The Wedding Clause,DebbieRaleigh,3.6,eng,Zebra,"the wedding clause,debbieraleigh,zebra"
The Zebra Wall,KevinHenkes,3.44,eng,GreenwillowBooks,"the zebra wall,kevinhenkes,greenwillowbooks"
El perfume Historia de un asesino,PatrickSüskind,4.02,spa,Booket,"el perfume historia de un asesino,patricksüskind,booket"
The Door Into Summer,RobertA.Heinlein,4.01,eng,DelRey,"the door into summer,roberta.heinlein,delrey"
Stranger in a Strange Land,RobertA.Heinlein,3.92,eng,Ace,"stranger in a strange land,roberta.heinlein,ace"
To Sail Beyond the Sunset,RobertA.Heinlein,3.87,en-US,AceBooks,"to sail beyond the sunset,roberta.heinlein,acebooks"
Job A Comedy of Justice,RobertA.Heinlein,3.78,en-US,DelRey,"job a comedy of justice,roberta.heinlein,delrey"
Time for the Stars Heinlein s Juveniles  10 ,RobertA.Heinlein,3.97,eng,TorBooks,"time for the stars heinlein s juveniles  10 ,roberta.heinlein,torbooks"
The Long Dark Tea Time of the Soul Dirk Gently  2 ,DouglasAdams,4.06,en-US,PocketBooks,"the long dark tea time of the soul dirk gently  2 ,douglasadams,pocketbooks"
The Salmon of Doubt Dirk Gently  3 ,DouglasAdams,3.93,eng,DelRey,"the salmon of doubt dirk gently  3 ,douglasadams,delrey"
Wish You Were Here The Official Biography of Douglas Adams,NickWebb,4.14,eng,DelRey,"wish you were here the official biography of douglas adams,nickwebb,delrey"
Douglas Adams s Starship Titanic,TerryJones,3.6,eng,BallantineBooks,"douglas adams s starship titanic,terryjones,ballantinebooks"
Salmon of Doubt Hitchhiking the Galaxy One Last Time,DouglasAdams/ChristopherCerf,3.93,eng,TurtlebackBooks,"salmon of doubt hitchhiking the galaxy one last time,douglasadams/christophercerf,turtlebackbooks"
The Phantom Tollbooth A Children s Play in Two Acts,SusanNanus/NortonJuster,4.13,eng,SamuelFrenchInc.,"the phantom tollbooth a children s play in two acts,susannanus/nortonjuster,samuelfrenchinc."
On Bullshit,HarryG.Frankfurt,3.57,eng,PrincetonUniversityPress,"on bullshit,harryg.frankfurt,princetonuniversitypress"
Another Bullshit Night in Suck City,NickFlynn,3.78,eng,W.W.Norton&Company,"another bullshit night in suck city,nickflynn,w.w.norton&company"
Lincoln at Gettysburg The Words That Remade America,GarryWills,4.14,en-US,Simon&Schuster,"lincoln at gettysburg the words that remade america,garrywills,simon&schuster"
The Gettysburg Address,AbrahamLincoln/MichaelMcCurdy,4.53,eng,HMHBooksforYoungReaders,"the gettysburg address,abrahamlincoln/michaelmccurdy,hmhbooksforyoungreaders"
Underworld,DonDeLillo,3.92,eng,Scribner,"underworld,dondelillo,scribner"
